,B1,B5,bond_length,L
0,1.763637943,4.234293742,1.469482625,5.657877804
1,1.718966952,4.156468399,1.889951474,10.41230706
2,1.719358004,4.156518386,1.720186964,10.24298011
3,1.721323705,4.15575665,1.339328708,9.853351214
4,1.60008303,9.312051141,1.239429871,6.554522551
5,1.632930862,9.057719214,1.421886865,6.888201675
6,1.687825145,8.0601904,1.461699312,8.859953405
7,2.030392256,8.945038009,1.530693043,8.163843876
8,2.402258016,4.234646582,1.469095921,5.657191033
9,1.7,5.877837891,1.499945408,8.77821532
10,1.71201427,5.83170864,1.891295409,9.165323017
11,1.95450955,6.730716665,1.505185785,6.898587886
12,2.030656745,9.247682857,1.53071873,5.506302737
13,2.20257516,9.506618954,1.362708954,6.385691617
14,1.7,4.243257489,1.499542256,10.02741873
